Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Watershed:Eno River 
Medium:Water
Parameters: pH    Time Period:2019-01-01 ~ 2020-12-31
Project:all
Data was downloaded on March 15 2021 5:24 pm
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Watershed,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"Eno River","EN13.3ER","","pH","2020-02-04 11:30:00","6.6","","","","rain stopped","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-03-03 11:25:00","6.7","","",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-07-07 11:25:00","7","","",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-08-04 11:20:00","6.9","","","","Duplicate Site; Heavy rains overnight from hurricane.","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-09-01 11:30:00","6.5","","",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-10-06 11:15:00","6.8","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-11-03 11:10:00","6.7","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN13.3ER","","pH","2020-12-01 10:55:00","6.5","","",""," ","Yes","Sunny","4","G","No","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-01-07 09:40:00","7.2","","",""," ","No","Overcast","3","G","No","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-02-04 09:40:00","6.4","","",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-03-03 09:45:00","6.5","","",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-07-07 09:15:00","6.8","","",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-08-04 09:20:00","6.3","","","","Heavy rains overnight from hurricane.","Yes","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-09-01 09:40:00","6.5","","","","Very high flow","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-10-06 09:35:00","6.7","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-11-03 09:25:00","6.7","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN4.9ER","","pH","2020-12-01 09:10:00","6.2","","","","Duplicate Site","Yes","Sunny","4","G","No","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-01-15 08:50:00","6.1","","","","Duplicate Site","No","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-02-12 08:30:00","6.6","","",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-03-12 08:35:00","7","","",""," ","Yes","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-04-09 08:45:00","7.1","","","","Sample taken near bank due to very high stage","Yes","Overcast","5","G","No","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-05-14 08:40:00","7.5","","",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-06-11 08:30:00","6.8","","","","High flow","Yes","Sunny","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-07-16 09:00:00","7.4","","","","Duplicate Site","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-08-13 08:55:00","7.1","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-09-10 08:30:00","7","","",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-10-08 08:20:00","6.8","","",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-11-12 08:40:00","6.4","","","","Raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2019-12-04 08:30:00","5.9","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-01-07 10:45:00","7.1","","","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-02-04 10:40:00","6.4","","","","starting to rain","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-03-03 10:45:00","6.6","","",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-05-12 09:00:00","7.4","","","","Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-06-09 00:00:00","7.1","","","","Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-07-07 10:15:00","7","","",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-08-04 10:25:00","6.6","","","","Heavy rains overnight from hurricane.","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-09-01 10:40:00","7","","","","very high flow","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-10-06 10:30:00","7","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-11-03 10:20:00","6.8","","",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","pH","2020-12-01 10:05:00","6.2","","",""," ","Yes","Partly Cloudy","4","G","No","SDWRF","Ambient",
